NPA,employment_2023,grad_2023,job_density_2022,home_price_2021,home_price_2023,homicide_count
315,98.4,,5,491392.0,646853.0,2
316,96.1,86.8,2,203295.0,336968.0,6
317,77.2,100.0,1,268398.0,440867.0,1
318,94.4,100.0,1,300139.0,408826.0,0
319,96.7,90.6,3,209066.0,305406.0,1
320,100.0,100.0,6,602746.0,943911.0,0
321,89.3,90.0,1,142256.0,256733.0,3
322,93.1,86.7,0,190028.0,294574.0,0
323,97.6,88.9,2,232616.0,285867.0,4
324,99.3,92.9,0,353728.0,406566.0,2
325,91.6,86.7,0,169658.0,256994.0,1
326,97.5,40.0,0,226986.0,351706.0,4
327,86.9,87.5,2,143861.0,286682.0,3
328,100.0,76.9,1,266698.0,311315.0,4
329,100.0,88.9,0,186875.0,285802.0,0
330,98.3,84.2,0,192642.0,313216.0,0
331,96.0,76.9,5,212950.0,292600.0,7
332,99.0,86.4,0,229571.0,344652.0,4
333,94.2,78.1,1,178488.0,290789.0,2
334,100.0,,42,,,1
335,96.2,100.0,1,347672.0,452285.0,0
336,94.2,87.5,0,285118.0,356019.0,2
337,98.3,100.0,0,329495.0,415994.0,1
338,98.2,,10,393429.0,646307.0,1
339,100.0,,24,598644.0,665386.0,1
343,91.3,,3,458361.0,605434.0,1
344,85.9,100.0,1,303208.0,395595.0,5
345,96.2,76.5,0,209202.0,345757.0,0
346,98.1,95.5,3,156987.0,261903.0,8
347,52.8,100.0,3,464234.0,535911.0,2
348,95.7,83.3,0,224919.0,320266.0,2
349,99.5,93.8,0,1090607.0,1243964.0,0
350,98.6,93.3,2,474486.0,583469.0,0
351,89.1,92.9,0,540816.0,641240.0,0
352,96.9,91.7,0,346510.0,495667.0,0
353,100.0,94.9,1,531350.0,617934.0,0
354,100.0,100.0,7,203131.0,272875.0,0
355,98.8,100.0,13,324779.0,435286.0,2
356,95.2,100.0,2,602139.0,719374.0,0
357,83.5,100.0,2,438918.0,589884.0,0
358,99.0,100.0,19,490231.0,669062.0,2
359,91.0,93.3,1,616082.0,728152.0,0
360,95.6,97.0,0,254438.0,339233.0,0
361,94.2,91.7,8,339452.0,479053.0,2
362,100.0,88.5,2,148708.0,311843.0,7
363,90.5,90.0,5,152521.0,327721.0,19
364,97.2,100.0,2,1280982.0,1608122.0,0
365,100.0,87.5,2,283608.0,349985.0,1
366,94.7,80.0,7,209000.0,289827.0,3
367,98.0,90.5,26,505791.0,626530.0,1
368,99.1,91.7,4,193533.0,293106.0,0
369,94.2,,2,141057.0,353833.0,10
370,79.3,72.5,7,238721.0,376382.0,14
371,95.4,75.8,2,132733.0,248600.0,19
372,96.8,92.6,1,283594.0,399546.0,3
373,100.0,85.7,1,605274.0,854023.0,0
374,96.7,95.0,0,362437.0,276078.0,23
375,96.5,100.0,1,890057.0,1212034.0,0
376,96.0,86.4,0,218246.0,332707.0,3
377,90.9,95.5,0,250535.0,377854.0,2
378,96.2,94.1,2,652680.0,741306.0,3
379,95.6,98.2,1,648831.0,882931.0,2
380,93.9,97.5,1,569384.0,758632.0,0
381,97.9,71.4,2,520641.0,790906.0,1
382,93.4,62.5,1,430659.0,578380.0,6
383,91.7,80.0,1,308094.0,428127.0,3
385,90.4,84.9,1,120514.0,208064.0,21
386,88.5,83.3,2,436032.0,650696.0,5
387,87.1,82.1,4,136617.0,268085.0,9
388,98.8,,8,521890.0,586132.0,3
389,97.7,84.1,1,247359.0,377636.0,8
390,93.2,85.7,2,336643.0,443914.0,1
391,99.0,100.0,1,405398.0,550215.0,0
392,98.1,98.3,4,978832.0,1269903.0,0
393,97.5,95.0,6,358430.0,482354.0,0
394,93.3,87.5,1,350064.0,465254.0,2
395,100.0,100.0,3,306260.0,412814.0,0
396,99.3,92.3,0,310623.0,406980.0,2
397,100.0,68.8,10,250045.0,444525.0,0
398,90.9,100.0,1,307518.0,586500.0,0
399,96.9,91.7,6,434867.0,572779.0,0
400,99.4,100.0,0,434550.0,397791.0,0
401,97.5,89.7,1,266946.0,385131.0,0
402,95.5,100.0,0,311144.0,384934.0,0
403,94.5,100.0,1,350306.0,691217.0,0
404,88.8,84.2,1,195570.0,352119.0,0
405,94.7,98.0,1,269641.0,403220.0,0
406,97.0,100.0,0,368165.0,506645.0,0
407,96.9,77.8,1,286710.0,410439.0,0
408,86.2,100.0,1,314338.0,438198.0,0
409,96.0,100.0,1,1157274.0,1560137.0,0
410,98.3,100.0,3,353193.0,541263.0,0
411,89.4,95.8,4,243072.0,341462.0,0
412,100.0,100.0,0,574806.0,699720.0,0
413,97.0,100.0,1,408335.0,582691.0,0
416,98.4,90.0,9,239268.0,314000.0,0
417,95.7,82.4,1,335996.0,498836.0,0
418,97.4,78.9,2,450259.0,603709.0,0
419,98.9,100.0,0,407095.0,543045.0,0
420,97.4,86.7,1,367615.0,493006.0,0
421,95.3,100.0,0,357754.0,482506.0,0
422,96.9,84.2,2,274444.0,348000.0,0
423,97.7,100.0,0,421417.0,526538.0,0
424,96.1,100.0,1,730394.0,757313.0,0
425,100.0,100.0,0,454730.0,703959.0,0
426,97.1,96.2,2,293762.0,440667.0,0
428,97.9,91.7,1,285317.0,448795.0,0
430,94.2,87.5,0,273789.0,376858.0,0
431,97.5,96.0,0,265970.0,386081.0,0
432,97.5,95.8,0,314642.0,440328.0,0
