X,Y,OBJECTID,ID,CRIME_REPORT_ID,AGE,GENDER,RACE_ETHNICITY,CLEARANCE_STATUS,IPV,WEAPON,LOCATION,X_COORD_PUBLIC,Y_COORD_PUBLIC,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,CLEARANCE_DATE,CIRCUMSTANCES,COUNCIL_DISTRICT,COMMISSION_DISTRICT,CORRIDOR,CALENDAR_YEAR,CALENDAR_MONTH,DATE_REPORTED
1407525.99999881,504092.999880895,799,799,20180604-0909-04,18,Male,Black,Cleared by Arrest,,Firearm,14200 CAROLINA FOREST CT,1407526,504093,35.118842,-80.981449,Steele Creek,68,2018/06/04 00:00:00+00,Argument,3,6,,2018,06,2018/06/04 00:00:00+00
1433587.00004205,514159.000090063,800,800,20180602-1510-03,40,Female,Black,Cleared by Arrest,Intimate Partner,Physical,300 ARCHDALE DR,1433587,514159,35.147893,-80.894956,Steele Creek,212,2018/06/03 00:00:00+00,Domestic,3,2,,2018,06,2018/06/02 00:00:00+00
1452217.99985348,544879.999999642,801,801,20180521-0359-00,39,Female,Black,Cleared by Arrest,,Handgun,900 N TRYON ST,1452218,544880,35.233251,-80.834539,Central,476,2018/06/29 00:00:00+00,Drugs,2,4,,2018,05,2018/05/21 00:00:00+00
1477873.00005256,527447.000088811,802,802,20180512-2221-03,36,Male,Black,Cleared by Arrest,,Handgun,6800 ELM FOREST DR,1477873,527447,35.18663,-80.74761,Independence,16,2018/05/17 00:00:00+00,Other/Unknown,5,4,,2018,05,2018/05/12 00:00:00+00
1476849.00013205,548511.999953479,803,803,20180512-1234-02,19,Male,Hispanic,Cleared by Arrest,,Firearm,4600 PERTH CT,1476849,548512,35.244452,-80.752281,North Tryon,249,2018/05/13 00:00:00+00,Robbery,1,3,,2018,05,2018/05/12 00:00:00+00
1413735.00004797,504069.999926895,804,804,20180510-0150-00,27,Female,White,Cleared by Arrest,Intimate Partner,Handgun,10700 POINT SOUTH DR,1413735,504070,35.119117,-80.960688,Steele Creek,68,2018/05/10 00:00:00+00,Domestic,3,6,,2018,05,2018/05/10 00:00:00+00
1444907.0000398,576653.000101805,805,805,20180507-1441-00,25,Male,Black,Cleared by Arrest,,Rifle,9300 FELDBANK DR,1444907,576653,35.320163,-80.861012,North,260,2018/05/07 00:00:00+00,Argument,2,2,,2018,05,2018/05/07 00:00:00+00
1464587.0000498,537207.999923721,806,806,20180420-1648-00,26,Male,Other/Unknown,Cleared by Arrest,,Handgun,1500 WEMBLEY DR,1464587,537208,35.212795,-80.79266,Eastway,86,2018/04/23 00:00:00+00,Drugs,1,4,,2018,04,2018/04/20 00:00:00+00
1430095.0001363,550611.000020564,807,807,20180415-2202-01,44,Male,White,Cleared by Arrest,,Handgun,3000 TIMBERBROOK DR,1430095,550611,35.247849,-80.908981,Freedom,199,2018/05/08 00:00:00+00,Robbery,3,2,,2018,04,2018/04/15 00:00:00+00
1482800.00004105,523209.000034645,808,808,20180414-1436-00,21,Female,Black,Cleared by Arrest,,Unknown,8800 EAGLEWIND DR,1482800,523209,35.175225,-80.730875,Independence,186,2018/04/27 00:00:00+00,Drugs,5,4,,2018,04,2018/04/14 00:00:00+00
