NPA,2023
304,"92.9%"
305,"95.9%"
306,"85.6%"
307,"94.8%"
308,"100%"
309,"86.4%"
310,"96.9%"
311,"98.4%"
312,"96%"
313,"85.3%"
314,"95%"
315,"98.4%"
316,"96.1%"
317,"77.2%"
318,"94.4%"
319,"96.7%"
320,"100%"
321,"89.3%"
322,"93.1%"
323,"97.6%"
324,"99.3%"
325,"91.6%"
326,"97.5%"
327,"86.9%"
328,"100%"
329,"100%"
330,"98.3%"
331,"96%"
332,"99%"
333,"94.2%"
334,"100%"
335,"96.2%"
336,"94.2%"
337,"98.3%"
338,"98.2%"
339,"100%"
343,"91.3%"
344,"85.9%"
345,"96.2%"
346,"98.1%"
347,"52.8%"
348,"95.7%"
349,"99.5%"
350,"98.6%"
351,"89.1%"
352,"96.9%"
353,"100%"
354,"100%"
355,"98.8%"
356,"95.2%"
357,"83.5%"
358,"99%"
359,"91%"
360,"95.6%"
361,"94.2%"
362,"100%"
363,"90.5%"
364,"97.2%"
365,"100%"
366,"94.7%"
367,"98%"
368,"99.1%"
369,"94.2%"
370,"79.3%"
371,"95.4%"
372,"96.8%"
373,"100%"
374,"96.7%"
375,"96.5%"
376,"96%"
377,"90.9%"
378,"96.2%"
379,"95.6%"
380,"93.9%"
381,"97.9%"
382,"93.4%"
383,"91.7%"
385,"90.4%"
386,"88.5%"
387,"87.1%"
388,"98.8%"
389,"97.7%"
390,"93.2%"
391,"99%"
392,"98.1%"
393,"97.5%"
394,"93.3%"
395,"100%"
396,"99.3%"
397,"100%"
398,"90.9%"
399,"96.9%"
400,"99.4%"
401,"97.5%"
402,"95.5%"
403,"94.5%"
404,"88.8%"
405,"94.7%"
406,"97%"
407,"96.9%"
408,"86.2%"
409,"96%"
410,"98.3%"
411,"89.4%"
412,"100%"
413,"97%"
416,"98.4%"
417,"95.7%"
418,"97.4%"
419,"98.9%"
420,"97.4%"
421,"95.3%"
422,"96.9%"
423,"97.7%"
424,"96.1%"
425,"100%"
426,"97.1%"
428,"97.9%"
430,"94.2%"
431,"97.5%"
432,"97.5%"
433,"95.3%"
434,"98.6%"
435,"100%"
436,"94.6%"
437,"96.8%"
438,"98.3%"
442,"98.1%"
443,"93.3%"
444,"96.5%"
445,"98.4%"
446,"89.8%"
447,"97.6%"
448,"98.6%"
449,"89.7%"
450,"94.1%"
451,"96.7%"
452,"98.6%"
453,"100%"
454,"98.4%"
455,"96.8%"
456,"100%"
457,"96.4%"
458,"94.4%"
459,"99.7%"
460,"94.4%"
462,"88%"
463,"98%"
464,"95.4%"
465,"97.2%"
466,"95.4%"
467,"97.5%"
468,"89.9%"
469,"95.7%"
470,"100%"
471,"99.1%"
472,"100%"
473,"99.8%"
474,"100%"
475,"94%"
476,"96.9%"
